Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int
NQH00,1/3/00,5817.5,5947.5,5748.5,5841,2087,55.59%,15416,7461
NQH00,1/4/00,5743.5,5910,5592.5,5625,-216,-3.70%,15455,7655
NQH00,1/5/00,5625,5685.5,5462.5,5580,-45,-0.80%,15273,7474
NQH00,1/6/00,5560.5,5620.5,5350,5383,-197,-3.53%,15551,8245
NQH00,1/7/00,5352,5642,5324.5,5629.5,246.5,4.58%,14128,8360
NQH00,1/10/00,5628.5,5820,5622,5808.5,179,3.18%,15743,8600
NQH00,1/11/00,5755.5,5833.5,5609.5,5642.5,-166,-2.86%,16840,8520
NQH00,1/12/00,5643.5,5682.5,5543.5,5575.5,-67,-1.19%,15547,8238
NQH00,1/13/00,5575.5,5718.5,5569.5,5711.5,136,2.44%,13409,8268
NQH00,1/14/00,5727.5,5852.5,5712.5,5820,108.5,1.90%,12244,9095
NQH00,1/18/00,5827.5,5887,5737,5867.5,47.5,0.82%,14824,9732
NQH00,1/19/00,5868,5918,5808.5,5912,44.5,0.76%,14309,9550
NQH00,1/20/00,5914.5,5980.5,5878.5,5947.5,35.5,0.60%,16054,9142
NQH00,1/21/00,5937.5,5981.5,5891.5,5960.5,13,0.22%,10416,8897
NQH00,1/24/00,5959,6005.5,5743,5749.5,-211,-3.54%,15881,8524
NQH00,1/25/00,5742.5,5864.5,5674,5859,109.5,1.90%,17930,8396
NQH00,1/26/00,5842.5,5855,5705,5722,-137,-2.34%,14483,8994
NQH00,1/27/00,5696,5801.5,5659.5,5703.5,-18.5,-0.32%,15985,8556
NQH00,1/28/00,5708,5752.5,5476.5,5542.5,-161,-2.82%,16259,9040
NQH00,1/31/00,5529.5,5687.5,5438.5,5680,137.5,2.48%,17841,8888
NQH00,2/1/00,5674,5802.5,5631.5,5791,111,1.95%,13664,6795
NQH00,2/2/00,5787,5883.5,5759.5,5801.5,10.5,0.18%,13436,6793
NQH00,2/3/00,5801.5,5960,5780.5,5960,158.5,2.73%,16812,7565
NQH00,2/4/00,5955.5,6027.5,5928.5,5974,14,0.23%,11607,7815
NQH00,2/7/00,5974,6026,5943,6024.5,50.5,0.85%,10266,8330
NQH00,2/8/00,6012,6166,6009.5,6162.5,138,2.29%,15070,9720
