Time,Open,High,Low,Last,Change,%Chg,Volume
"08/19/2024 17:00",19857.75,19883,19857.75,19874,20.5,+0.10%,488
"08/19/2024 15:30",19863.5,19871.75,19852.25,19853.5,-10.5,-0.05%,3912
"08/19/2024 15:00",19860,19868.5,19832.75,19864,4,+0.02%,13843
"08/19/2024 14:30",19784.75,19861.25,19763.75,19860,75,+0.38%,40917
"08/19/2024 14:00",19769.75,19787.25,19756,19785,15.25,+0.08%,15672
"08/19/2024 13:30",19743,19786.25,19740,19769.75,26.75,+0.14%,19450
"08/19/2024 13:00",19721.75,19744.5,19719,19743,21.75,+0.11%,15389
"08/19/2024 12:30",19693.25,19722.75,19684.75,19721.25,28.5,+0.14%,12742
"08/19/2024 12:00",19692.5,19703.75,19674,19692.75,0,0.00%,14208
"08/19/2024 11:30",19662.25,19699.75,19645.75,19692.75,30,+0.15%,15489
"08/19/2024 11:00",19639,19664.25,19620.25,19662.75,24.75,+0.13%,14705
"08/19/2024 10:30",19657.75,19680,19618.25,19638,-20.,-0.10%,18803
"08/19/2024 10:00",19655,19678,19632.25,19658,3.25,+0.02%,23694
"08/19/2024 09:30",19611.5,19662,19592.75,19654.75,43.5,+0.22%,32342
"08/19/2024 09:00",19588,19625.5,19529,19611.25,23.5,+0.12%,45495
"08/19/2024 08:30",19604.5,19624.25,19544.5,19587.75,-16.75,-0.09%,60185
"08/19/2024 08:00",19622.25,19638.75,19600.75,19604.5,-17.5,-0.09%,7526
"08/19/2024 07:30",19632.5,19633.75,19617.25,19622,-10.25,-0.05%,3958
"08/19/2024 07:00",19610.5,19635.75,19606.5,19632.25,22.25,+0.11%,3917
"08/19/2024 06:30",19612.25,19616,19602.5,19610,-2.75,-0.01%,2015
"08/19/2024 06:00",19579,19618.5,19578,19612.75,33.5,+0.17%,2933
"08/19/2024 05:30",19597.5,19601,19577.5,19579.25,-17.5,-0.09%,1943
"08/19/2024 05:00",19578.5,19606,19575.75,19596.75,18,+0.09%,3734
"08/19/2024 04:30",19573.25,19585,19563,19578.75,5.75,+0.03%,2740
"08/19/2024 04:00",19572.75,19575,19541.5,19573,1,+0.01%,2440
"08/19/2024 03:30",19563,19574.5,19545.5,19572,9,+0.05%,2837
"08/19/2024 03:00",19583.75,19591.25,19525.25,19563,-21.75,-0.11%,6456
"08/19/2024 02:30",19590.5,19607,19576.5,19584.75,-5.75,-0.03%,2699
"08/19/2024 02:00",19577.25,19593,19561.5,19590.5,15,+0.08%,2973
"08/19/2024 01:30",19573.75,19590.75,19567.5,19575.5,1.75,+0.01%,1680
"08/19/2024 01:00",19587.75,19597.25,19563,19573.75,-11.25,-0.06%,2493
"08/19/2024 00:30",19589.25,19603,19577.75,19585,-4.5,-0.02%,1832
"08/19/2024 00:00",19608.25,19621.5,19580.25,19589.5,-18.75,-0.10%,2131
"08/18/2024 23:30",19642,19642,19592.5,19608.25,-35.25,-0.18%,3474
"08/18/2024 23:00",19646.25,19648,19637,19643.5,-2.5,-0.01%,919
"08/18/2024 22:30",19666.25,19688,19639.75,19646,-21.,-0.11%,2501
"08/18/2024 22:00",19661.5,19670.25,19655.5,19667,5,+0.03%,828
"08/18/2024 21:30",19660.75,19667,19650,19662,1,+0.01%,641
"08/18/2024 21:00",19655.75,19662.75,19652.25,19661,3.5,+0.02%,730
"08/18/2024 20:30",19644,19658.5,19640,19657.5,13.5,+0.07%,1179
"08/18/2024 20:00",19653.25,19663.5,19636.5,19644,-10.5,-0.05%,1491
"08/18/2024 19:30",19660,19669.75,19649,19654.5,-5.5,-0.03%,1405
"08/18/2024 19:00",19649,19665.5,19627.25,19660,12.25,+0.06%,1905
"08/18/2024 18:30",19666.5,19673.5,19623.75,19647.75,-19.25,-0.10%,1921
"08/18/2024 18:00",19648,19672.75,19642.75,19667,20.25,+0.10%,1199
"08/18/2024 17:30",19638,19655,19631,19646.75,8.75,+0.04%,1279
"08/18/2024 17:00",19629,19673.75,19614.5,19638,34,+0.17%,3851
"08/16/2024 15:30",19610,19616.75,19602.5,19604,-6.25,-0.03%,2265
"08/16/2024 15:00",19603.75,19622.25,19598.5,19610.25,6.75,+0.03%,7665
"08/16/2024 14:30",19602.5,19613.5,19572.25,19603.5,0.75,0.00%,28565
"08/16/2024 14:00",19623.25,19625,19596.5,19602.75,-20.,-0.10%,11870
"08/16/2024 13:30",19615.5,19628.5,19596,19622.75,7.5,+0.04%,12209
"08/16/2024 13:00",19628.75,19629.25,19590.5,19615.25,-13.,-0.07%,13514
"08/16/2024 12:30",19638.25,19647,19603.5,19628.25,-9.75,-0.05%,14439
"08/16/2024 12:00",19652.25,19655.5,19624,19638,-13.5,-0.07%,16135
"08/16/2024 11:30",19614.25,19660.75,19608,19651.5,37.25,+0.19%,19183
"08/16/2024 11:00",19575.25,19620.25,19564.25,19614.25,38.5,+0.20%,21010
"08/16/2024 10:30",19532.25,19584,19524,19575.75,44,+0.23%,23933
"08/16/2024 10:00",19520.25,19546,19495,19531.75,12,+0.06%,24162
"08/16/2024 09:30",19567.5,19591,19496,19519.75,-47.75,-0.24%,36258
"08/16/2024 09:00",19494.5,19591.25,19488.25,19567.5,69.5,+0.36%,46553
"08/16/2024 08:30",19503.5,19534.5,19462.5,19498,-4.5,-0.02%,58516
