Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
NQZ24,"09/30/2024 15:30",20267,20269,20232.5,20233.25,-33.75,-0.17%,2447,N/A
NQZ24,"09/30/2024 15:00",20270.5,20275.75,20240.75,20267,-3.75,-0.02%,14674,N/A
NQZ24,"09/30/2024 14:30",20153.75,20286.75,20142.5,20270.75,116.75,+0.58%,58873,N/A
NQZ24,"09/30/2024 14:00",20147.75,20162,20118.75,20154,6.75,+0.03%,24727,N/A
NQZ24,"09/30/2024 13:30",20092.5,20175,20073.5,20147.25,54,+0.27%,34074,N/A
NQZ24,"09/30/2024 13:00",20206.25,20212,20056,20093.25,-112.25,-0.56%,47511,N/A
NQZ24,"09/30/2024 12:30",20175.75,20215.5,20169.25,20205.5,29.75,+0.15%,18192,N/A
NQZ24,"09/30/2024 12:00",20212.5,20218,20169,20175.75,-36.25,-0.18%,19587,N/A
NQZ24,"09/30/2024 11:30",20236.5,20241.5,20209.25,20212,-24.75,-0.12%,13322,N/A
NQZ24,"09/30/2024 11:00",20206.75,20254.5,20204.5,20236.75,29,+0.14%,19395,N/A
NQZ24,"09/30/2024 10:30",20227,20234.75,20167.25,20207.75,-19.,-0.09%,22530,N/A
NQZ24,"09/30/2024 10:00",20179.5,20227.25,20170.75,20226.75,47,+0.23%,23163,N/A
NQZ24,"09/30/2024 09:30",20184.5,20210,20162.75,20179.75,-5.25,-0.03%,26774,N/A
NQZ24,"09/30/2024 09:00",20204.75,20221.5,20127.5,20185,-19.25,-0.10%,37818,N/A
NQZ24,"09/30/2024 08:30",20179.5,20262.5,20168.75,20204.25,24.75,+0.12%,50008,N/A
NQZ24,"09/30/2024 08:00",20170,20189.25,20162.25,20179.5,9.75,+0.05%,7607,N/A
NQZ24,"09/30/2024 07:30",20163,20176.25,20147.25,20169.75,7.25,+0.04%,4969,N/A
NQZ24,"09/30/2024 07:00",20129.75,20167.75,20124.25,20162.5,32.5,+0.16%,4845,N/A
NQZ24,"09/30/2024 06:30",20157.25,20166.5,20119.5,20130,-26.5,-0.13%,5406,N/A
NQZ24,"09/30/2024 06:00",20196,20198.5,20148.25,20156.5,-39.,-0.19%,4383,N/A
NQZ24,"09/30/2024 05:30",20204.5,20208.25,20182.75,20195.5,-8.75,-0.04%,2245,N/A
NQZ24,"09/30/2024 05:00",20203.5,20219,20199.75,20204.25,0.25,0.00%,1974,N/A
NQZ24,"09/30/2024 04:30",20202,20212,20188,20204,3,+0.01%,1900,N/A
NQZ24,"09/30/2024 04:00",20197.25,20208,20170.5,20201,4,+0.02%,2218,N/A
NQZ24,"09/30/2024 03:30",20206,20206.5,20176,20197,-9.25,-0.05%,2387,N/A
NQZ24,"09/30/2024 03:00",20224.25,20224.5,20175.5,20206.25,-18.,-0.09%,4454,N/A
NQZ24,"09/30/2024 02:30",20217.75,20247.25,20216.75,20224.25,7.25,+0.04%,3208,N/A
NQZ24,"09/30/2024 02:00",20188,20239.75,20183.5,20217,29.5,+0.15%,4265,N/A
NQZ24,"09/30/2024 01:30",20153.25,20197,20146.5,20187.5,35.5,+0.18%,2580,N/A
NQZ24,"09/30/2024 01:00",20173,20187,20146,20152,-21.5,-0.11%,2472,N/A
NQZ24,"09/30/2024 00:30",20196.25,20204,20166.75,20173.5,-22.5,-0.11%,1500,N/A
NQZ24,"09/30/2024 00:00",20197,20203.75,20183.5,20196,-0.75,0.00%,1717,N/A
NQZ24,"09/29/2024 23:30",20207.5,20208,20187.25,20196.75,-10.5,-0.05%,1341,N/A
NQZ24,"09/29/2024 23:00",20219.75,20226.75,20205.25,20207.25,-12.5,-0.06%,1161,N/A
NQZ24,"09/29/2024 22:30",20211.5,20223,20206.25,20219.75,8,+0.04%,1478,N/A
NQZ24,"09/29/2024 22:00",20189.75,20211.75,20184,20211.75,22.75,+0.11%,1952,N/A
NQZ24,"09/29/2024 21:30",20172.75,20191.25,20153.5,20189,17,+0.08%,1706,N/A
NQZ24,"09/29/2024 21:00",20192,20192.25,20160.5,20172,-19.75,-0.10%,2105,N/A
NQZ24,"09/29/2024 20:30",20216.25,20222,20174,20191.75,-23.25,-0.12%,3723,N/A
